class,mean,CI1,CI2,N,age,p/d
temporal,0.69999999999999996,0.20000000000000001,0.90000000000000002,10,4,child-directed
color,0.065116279069767441,0.03255813953488372,0.097674418604651161,215,4,child-directed
age,0.10294117647058823,0.029411764705882353,0.17647058823529413,68,4,child-directed
material,0.0,0.0,0.0,3,4,child-directed
value,0.84368308351177734,0.80513918629550318,0.87152034261241973,467,4,child-directed
shape,0.0,0.0,0.0,4,4,child-directed
location,0.1875,0.0,0.375,16,4,child-directed
human,0.69696969696969702,0.48484848484848486,0.81818181818181823,33,4,child-directed
nationality,0.40000000000000002,0.10000000000000001,0.59999999999999998,10,4,child-directed
speed,0.0,0.0,0.0,1,4,child-directed
dimension,0.46296296296296297,0.41851851851851851,0.50370370370370365,540,4,child-directed
physical,0.29032258064516131,0.19354838709677419,0.37634408602150538,93,4,child-directed
temporal,0.33333333333333331,0.0,0.66666666666666663,3,4,child-produced
color,0.25333333333333335,0.14666666666666667,0.34666666666666668,75,4,child-produced
age,0.3125,0.15625,0.46875,32,4,child-produced
material,0.0,0.0,0.0,1,4,child-produced
value,0.67123287671232879,0.54794520547945202,0.76712328767123283,73,4,child-produced
shape,0.0,0.0,0.0,1,4,child-produced
location,0.0,0.0,0.0,4,4,child-produced
human,0.66666666666666663,0.3888888888888889,0.83333333333333337,18,4,child-produced
nationality,0.0,0.0,0.0,1,4,child-produced
speed,0.0,0.0,0.0,1,4,child-produced
dimension,0.61137440758293837,0.54028436018957349,0.66824644549763035,211,4,child-produced
physical,0.25,0.11363636363636363,0.36363636363636365,44,4,child-produced
