class,mean,CI1,CI2,N,age,p/d
1,0.5757575757575758,0.36363636363636365,0.69696969696969702,33,2,child-directed
2,0.25486381322957197,0.21789883268482491,0.29182879377431908,514,2,child-directed
3,0.24396442185514614,0.21346886912325286,0.27318932655654382,787,2,child-directed
4,0.24205748865355523,0.20877458396369139,0.27382753403933435,661,2,child-directed
5,0.4325290437890974,0.40303842716711347,0.46112600536193027,1119,2,child-directed
6,0.88709677419354838,0.85282258064516125,0.91129032258064513,496,2,child-directed
7,0.56565656565656564,0.52904040404040409,0.59848484848484851,792,2,child-directed
8,0.39862542955326463,0.37628865979381443,0.42210767468499427,1746,2,child-directed
9,0.9061032863849765,0.87949921752738658,0.92488262910798125,639,2,child-directed
10,0.83176100628930816,0.80031446540880502,0.85691823899371067,636,2,child-directed
11,0.8529411764705882,0.67647058823529416,0.91176470588235292,34,2,child-directed
12,0.97777777777777775,0.84444444444444444,1.0,45,2,child-directed
1,0.25,0.0,0.5,4,2,child-produced
2,0.047619047619047616,0.013605442176870748,0.081632653061224483,147,2,child-produced
3,0.0,0.0,0.0,47,2,child-produced
4,0.18032786885245902,0.081967213114754092,0.27868852459016391,61,2,child-produced
5,0.3363914373088685,0.28440366972477066,0.38532110091743121,327,2,child-produced
6,0.69230769230769229,0.5641025641025641,0.76923076923076927,78,2,child-produced
7,0.33333333333333331,0.24603174603174602,0.41269841269841268,126,2,child-produced
8,0.56133828996282531,0.49814126394052044,0.61710037174721188,269,2,child-produced
9,0.90865384615384615,0.85576923076923073,0.9375,208,2,child-produced
10,0.74336283185840712,0.64601769911504425,0.80530973451327437,113,2,child-produced
11,0.90588235294117647,0.81176470588235294,0.95294117647058818,85,2,child-produced
12,0.76000000000000001,0.52000000000000002,0.88,25,2,child-produced
