adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,22,value,1.0,0.787272727272727,4,child-directed
just,13,value,0.53846153846153844,0.60125,4,child-directed
yellow,10,color,0.40000000000000002,0.343333333333333,4,child-directed
awful,7,value,1.0,0.641666666666667,4,child-directed
bright,3,color,0.33333333333333331,0.464,4,child-directed
slow,1,speed,0.0,0.504285714285714,4,child-directed
chinese,3,nationality,0.33333333333333331,0.12,4,child-directed
royal,1,human,1.0,0.4925,4,child-directed
young,19,age,0.15789473684210525,0.551538461538462,4,child-directed
late,8,temporal,0.875,0.422307692307692,4,child-directed
black,7,color,0.0,0.269,4,child-directed
pretty,60,value,0.96666666666666667,0.863333333333333,4,child-directed
weensie,4,dimension,1.0,0.763125,4,child-directed
orange,5,color,0.40000000000000002,0.301538461538462,4,child-directed
east,2,location,0.0,0.202222222222222,4,child-directed
smart,3,human,0.0,0.596666666666667,4,child-directed
brown,17,color,0.058823529411764705,0.29875,4,child-directed
good,44,value,0.40909090909090912,0.78125,4,child-directed
far,1,location,1.0,0.609473684210526,4,child-directed
big,148,dimension,0.68918918918918914,0.691666666666667,4,child-directed
fat,4,dimension,0.0,0.619375,4,child-directed
dark,7,color,0.0,0.315,4,child-directed
front,3,location,0.0,0.254,4,child-directed
nasty,2,value,1.0,0.757142857142857,4,child-directed
silver,2,color,0.0,0.251111111111111,4,child-directed
cool,6,physical,0.33333333333333331,0.678125,4,child-directed
wooden,2,material,0.0,0.255454545454545,4,child-directed
large,3,dimension,1.0,0.548181818181818,4,child-directed
bad,8,value,0.0,0.71625,4,child-directed
small,23,dimension,0.73913043478260865,0.513,4,child-directed
soft,16,physical,0.875,0.572222222222222,4,child-directed
side,2,location,0.0,0.271,4,child-directed
mean,8,human,1.0,0.712727272727273,4,child-directed
heavy,6,physical,0.16666666666666666,0.5725,4,child-directed
right,2,value,1.0,0.637777777777778,4,child-directed
old,34,age,0.088235294117647065,0.646666666666667,4,child-directed
fluffy,9,physical,0.0,0.573333333333333,4,child-directed
hard,2,physical,0.0,0.428181818181818,4,child-directed
back,3,location,0.33333333333333331,0.297142857142857,4,child-directed
dead,1,human,0.0,0.14,4,child-directed
second,1,temporal,0.0,0.0675,4,child-directed
glottal,1,location,0.0,0.482,4,child-directed
dear,1,value,1.0,0.61,4,child-directed
special,1,value,0.0,0.68,4,child-directed
blue,11,color,0.18181818181818182,0.346666666666667,4,child-directed
purple,3,color,0.0,0.2405,4,child-directed
jolly,17,color,1.0,0.675714285714286,4,child-directed
teeny,8,dimension,0.625,0.531818181818182,4,child-directed
new,7,age,0.0,0.265,4,child-directed
red,33,color,0.12121212121212122,0.174166666666667,4,child-directed
thin,11,dimension,0.0,0.571538461538462,4,child-directed
cozy,1,value,1.0,0.683333333333333,4,child-directed
french,2,nationality,0.0,0.278888888888889,4,child-directed
wild,1,value,0.0,0.636428571428571,4,child-directed
strong,3,physical,0.0,0.64375,4,child-directed
super,2,nationality,1.0,0.770833333333333,4,child-directed
scary,1,value,0.0,0.723333333333333,4,child-directed
great,46,value,0.95652173913043481,0.838,4,child-directed
central,3,location,0.0,0.3275,4,child-directed
quiet,1,physical,0.0,0.36875,4,child-directed
round,3,shape,0.0,0.23875,4,child-directed
american,1,nationality,1.0,0.367857142857143,4,child-directed
misshapen,1,physical,0.0,0.487142857142857,4,child-directed
narrow,2,dimension,0.0,0.6325,4,child-directed
loud,9,physical,0.0,0.48,4,child-directed
first,1,value,0.0,0.141818181818182,4,child-directed
golden,3,color,0.0,0.33625,4,child-directed
fantastic,1,value,0.0,0.6725,4,child-directed
naughty,3,human,1.0,0.723,4,child-directed
sweet,6,physical,1.0,0.724666666666667,4,child-directed
fancy,1,value,0.0,0.673636363636364,4,child-directed
hollow,1,physical,0.0,0.221428571428571,4,child-directed
square,1,shape,0.0,0.384285714285714,4,child-directed
tiny,41,dimension,0.36585365853658536,0.414444444444444,4,child-directed
delicious,1,value,0.0,0.789285714285714,4,child-directed
thick,1,dimension,0.0,0.596153846153846,4,child-directed
open,1,dimension,1.0,0.422857142857143,4,child-directed
little,234,dimension,0.34188034188034189,0.413571428571429,4,child-directed
top,1,location,1.0,0.135714285714286,4,child-directed
long,29,dimension,0.27586206896551724,0.556428571428571,4,child-directed
next,1,temporal,0.0,0.281,4,child-directed
live,1,human,0.0,0.174615384615385,4,child-directed
white,5,color,0.0,0.281428571428571,4,child-directed
happy,4,human,0.5,0.43,4,child-directed
flat,3,dimension,0.0,0.256,4,child-directed
tawny,1,color,0.0,0.505,4,child-directed
warm,13,physical,0.0,0.6675,4,child-directed
last,16,physical,0.0,0.39,4,child-directed
wide,2,dimension,0.0,0.443,4,child-directed
wool,1,material,0.0,0.287,4,child-directed
wise,4,human,1.0,0.753846153846154,4,child-directed
plain,1,value,1.0,0.571428571428571,4,child-directed
grey,4,color,0.0,0.2810714285714285,4,child-directed
silly,1,human,0.0,0.655,4,child-directed
dirty,3,physical,1.0,0.504,4,child-directed
fun,21,value,0.7142857142857143,0.872857142857143,4,child-directed
wicked,1,human,1.0,0.674444444444444,4,child-directed
beautiful,25,value,0.76000000000000001,0.935714285714286,4,child-directed
ripe,1,age,0.0,0.241666666666667,4,child-directed
sad,1,human,0.0,0.567777777777778,4,child-directed
gentle,1,human,0.0,0.573846153846154,4,child-directed
sharp,2,physical,0.0,0.417272727272727,4,child-directed
huge,6,dimension,0.33333333333333331,0.624285714285714,4,child-directed
itsy,1,dimension,1.0,0.656666666666667,4,child-directed
hot,9,physical,0.1111111111111111,0.403,4,child-directed
strange,1,value,1.0,0.757777777777778,4,child-directed
sick,3,human,1.0,0.344285714285714,4,child-directed
grand,4,value,1.0,0.747142857142857,4,child-directed
yucky,1,value,0.0,0.711666666666667,4,child-directed
nice,164,value,0.94512195121951215,0.725833333333333,4,child-directed
poor,26,value,1.0,0.53,4,child-directed
okay,4,value,1.0,0.88,4,child-directed
wrong,3,value,1.0,0.452222222222222,4,child-directed
regular,1,value,1.0,0.651111111111111,4,child-directed
bitsy,1,dimension,0.0,0.66,4,child-directed
tall,13,dimension,0.69230769230769229,0.675882352941176,4,child-directed
short,5,dimension,0.59999999999999998,0.54,4,child-directed
light,3,physical,0.0,0.562,4,child-directed
hungry,1,human,1.0,0.473333333333333,4,child-directed
green,104,color,0.0,0.208461538461538,4,child-directed
clean,3,physical,0.0,0.589230769230769,4,child-directed
english,4,nationality,0.5,0.191111111111111,4,child-directed
