class,mean,CI1,CI2,N,age,p/d
1,0.5757575757575758,0.36363636363636365,0.69696969696969702,33,2,child-directed
2,0.25486381322957197,0.21595330739299612,0.29182879377431908,514,2,child-directed
3,0.24396442185514614,0.21473951715374842,0.27445997458703941,787,2,child-directed
4,0.24205748865355523,0.2102874432677761,0.27534039334341909,661,2,child-directed
5,0.4325290437890974,0.40303842716711347,0.46112600536193027,1119,2,child-directed
6,0.88709677419354838,0.85685483870967738,0.91129032258064513,496,2,child-directed
7,0.56565656565656564,0.53030303030303028,0.5997474747474747,792,2,child-directed
8,0.39862542955326463,0.37514318442153494,0.42038946162657503,1746,2,child-directed
9,0.9061032863849765,0.87949921752738658,0.92644757433489833,639,2,child-directed
10,0.83176100628930816,0.79874213836477992,0.85691823899371067,636,2,child-directed
11,0.8529411764705882,0.67647058823529416,0.91176470588235292,34,2,child-directed
12,0.97777777777777775,0.8666666666666667,1.0,45,2,child-directed
1,0.0,0.0,0.0,8,2,child-produced
2,0.068421052631578952,0.036842105263157891,0.10526315789473684,190,2,child-produced
3,0.19796954314720813,0.14213197969543148,0.25380710659898476,197,2,child-produced
4,0.063559322033898302,0.033898305084745763,0.097457627118644072,236,2,child-produced
5,0.49333333333333335,0.45166666666666666,0.53166666666666662,600,2,child-produced
6,0.68468468468468469,0.5855855855855856,0.7567567567567568,111,2,child-produced
7,0.16580310880829016,0.11398963730569948,0.21761658031088082,193,2,child-produced
8,0.6155988857938719,0.57938718662952648,0.64902506963788298,718,2,child-produced
9,0.84146341463414631,0.79573170731707321,0.875,328,2,child-produced
10,0.71527777777777779,0.63194444444444442,0.77777777777777779,144,2,child-produced
11,0.92473118279569888,0.83870967741935487,0.956989247311828,93,2,child-produced
12,1.0,1.0,1.0,62,2,child-produced
