class,mean,CI1,CI2,N,age,p/d
1,0.2,0,0.4,5,4,child-directed
2,0.053333333,0.02,0.086666667,150,4,child-directed
3,0.240506329,0.139240506,0.329113924,79,4,child-directed
4,0.348837209,0.244186047,0.441860465,86,4,child-directed
5,0.324455206,0.278450363,0.368038741,413,4,child-directed
6,0.674418605,0.558139535,0.755813953,86,4,child-directed
7,0.371428571,0.285714286,0.442857143,140,4,child-directed
8,0.601190476,0.544642857,0.648809524,336,4,child-directed
9,0.896995708,0.849785408,0.927038627,233,4,child-directed
10,0.745901639,0.655737705,0.81147541,122,4,child-directed
11,0.909090909,0.818181818,0.943181818,88,4,child-directed
12,0.842105263,0.657894737,0.921052632,38,4,child-directed
1,0.5,0,0.75,4,4,child-produced
2,0.314285714,0.142857143,0.457142857,35,4,child-produced
3,0.3,0.15,0.425,40,4,child-produced
4,0.387096774,0.193548387,0.548387097,31,4,child-produced
5,0.576,0.48,0.648,125,4,child-produced
6,0.678571429,0.428571429,0.785714286,28,4,child-produced
7,0.46875,0.25,0.625,32,4,child-produced
8,0.583783784,0.508108108,0.648648649,185,4,child-produced
9,0.481481481,0.333333333,0.592592593,54,4,child-produced
10,0.46875,0.28125,0.625,32,4,child-produced
11,0.714285714,0.142857143,0.857142857,7,4,child-produced
