adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,11,value,0.90909090909090906,0.787272727272727,4,child-directed
just,4,value,1.0,0.60125,4,child-directed
slippery,1,physical,1.0,0.568888888888889,4,child-directed
yellow,28,color,0.10714285714285714,0.343333333333333,4,child-directed
bright,10,color,0.5,0.464,4,child-directed
rough,5,physical,0.40000000000000002,0.715,4,child-directed
perfect,1,value,1.0,0.493,4,child-directed
gold,3,color,0.0,0.214166666666667,4,child-directed
wee,8,dimension,1.0,0.762857142857143,4,child-directed
young,1,age,0.0,0.551538461538462,4,child-directed
late,11,temporal,1.0,0.422307692307692,4,child-directed
black,11,color,0.090909090909090912,0.269,4,child-directed
innocent,2,human,0.0,0.598461538461538,4,child-directed
nifty,1,value,1.0,0.621538461538461,4,child-directed
orange,5,color,0.20000000000000001,0.301538461538462,4,child-directed
sorry,1,human,1.0,0.68,4,child-directed
wool,2,material,0.0,0.287,4,child-directed
smart,5,human,0.40000000000000002,0.596666666666667,4,child-directed
brown,37,color,0.027027027027027029,0.29875,4,child-directed
good,78,value,0.53846153846153844,0.78125,4,child-directed
tubby,1,dimension,0.0,0.6325,4,child-directed
big,220,dimension,0.5636363636363636,0.691666666666667,4,child-directed
horrible,1,value,1.0,0.64,4,child-directed
fat,3,dimension,0.0,0.619375,4,child-directed
fast,1,speed,0.0,0.57125,4,child-directed
dark,2,color,0.5,0.315,4,child-directed
awful,3,value,1.0,0.641666666666667,4,child-directed
silver,1,color,0.0,0.251111111111111,4,child-directed
cool,4,physical,0.0,0.678125,4,child-directed
wooden,18,material,0.0,0.255454545454545,4,child-directed
large,3,dimension,0.0,0.548181818181818,4,child-directed
bad,5,value,0.0,0.71625,4,child-directed
stupid,2,human,1.0,0.6575,4,child-directed
small,9,dimension,0.55555555555555558,0.513,4,child-directed
soft,5,physical,0.0,0.572222222222222,4,child-directed
round,13,shape,0.0,0.23875,4,child-directed
mean,4,human,0.75,0.712727272727273,4,child-directed
heavy,4,physical,0.0,0.5725,4,child-directed
right,1,value,1.0,0.637777777777778,4,child-directed
old,23,age,0.17391304347826086,0.646666666666667,4,child-directed
fluffy,8,physical,0.0,0.573333333333333,4,child-directed
hard,1,physical,0.0,0.428181818181818,4,child-directed
back,1,location,0.0,0.297142857142857,4,child-directed
dead,1,human,0.0,0.14,4,child-directed
dear,2,value,1.0,0.61,4,child-directed
cold,1,physical,0.0,0.69,4,child-directed
special,1,value,1.0,0.68,4,child-directed
blue,22,color,0.31818181818181818,0.346666666666667,4,child-directed
eensie,1,dimension,1.0,0.7175,4,child-directed
purple,7,color,0.0,0.2405,4,child-directed
jolly,13,shape,1.0,0.675714285714286,4,child-directed
teeny,12,dimension,0.66666666666666663,0.531818181818182,4,child-directed
rotten,4,value,0.0,0.4425,4,child-directed
dutch,1,nationality,0.0,0.383333333333333,4,child-directed
new,19,age,0.57894736842105265,0.265,4,child-directed
red,23,color,0.0,0.174166666666667,4,child-directed
dirty,6,physical,0.66666666666666663,0.504,4,child-directed
full,1,physical,0.0,0.384444444444444,4,child-directed
cozy,8,value,0.0,0.683333333333333,4,child-directed
pathetic,1,value,0.0,0.687692307692308,4,child-directed
french,1,nationality,0.0,0.278888888888889,4,child-directed
ancient,1,age,1.0,0.444,4,child-directed
merry,4,human,1.0,0.72,4,child-directed
exciting,2,value,1.0,0.695454545454545,4,child-directed
super,7,color,0.14285714285714285,0.770833333333333,4,child-directed
great,68,value,1.0,0.838,4,child-directed
last,27,color,0.0,0.39,4,child-directed
quiet,1,physical,0.0,0.36875,4,child-directed
american,6,nationality,1.0,0.367857142857143,4,child-directed
weird,1,value,1.0,0.815,4,child-directed
narrow,2,dimension,1.0,0.6325,4,child-directed
loud,3,physical,0.0,0.48,4,child-directed
first,2,dimension,1.0,0.141818181818182,4,child-directed
golden,1,color,0.0,0.33625,4,child-directed
naughty,3,human,1.0,0.723,4,child-directed
dulcet,1,value,0.0,0.608666666666667,4,child-directed
sweet,11,physical,0.90909090909090906,0.724666666666667,4,child-directed
tiny,39,dimension,0.25641025641025639,0.414444444444444,4,child-directed
oval,3,shape,0.0,0.213333333333333,4,child-directed
plastic,2,material,0.0,0.268,4,child-directed
open,1,dimension,0.0,0.422857142857143,4,child-directed
little,309,dimension,0.45307443365695793,0.413571428571429,4,child-directed
strong,3,physical,0.0,0.64375,4,child-directed
damp,3,physical,0.0,0.485384615384615,4,child-directed
comfy,1,value,0.0,0.789090909090909,4,child-directed
long,26,dimension,0.15384615384615385,0.556428571428571,4,child-directed
next,5,temporal,0.59999999999999998,0.281,4,child-directed
white,18,color,0.22222222222222221,0.281428571428571,4,child-directed
wicked,4,human,0.0,0.674444444444444,4,child-directed
flat,4,dimension,0.0,0.256,4,child-directed
clever,2,human,0.5,0.640909090909091,4,child-directed
pretty,67,value,0.97014925373134331,0.863333333333333,4,child-directed
warm,12,physical,0.75,0.6675,4,child-directed
east,1,location,0.0,0.202222222222222,4,child-directed
plain,1,value,0.0,0.571428571428571,4,child-directed
smooth,1,physical,0.0,0.59875,4,child-directed
grey,2,color,0.0,0.2810714285714285,4,child-directed
neat,6,value,0.16666666666666666,0.582727272727273,4,child-directed
thin,5,dimension,0.40000000000000002,0.571538461538462,4,child-directed
fun,18,value,0.61111111111111116,0.872857142857143,4,child-directed
happy,14,human,0.8571428571428571,0.43,4,child-directed
