class,mean,CI1,CI2,N,age,p/d
temporal,0.51851851851851849,0.29629629629629628,0.66666666666666663,27,4,child-directed
color,0.096385542168674704,0.060240963855421686,0.13253012048192772,249,4,child-directed
age,0.38,0.23999999999999999,0.5,50,4,child-directed
material,0.0,0.0,0.0,22,4,child-directed
value,0.82490272373540852,0.78988326848249024,0.85408560311284043,514,4,child-directed
shape,0.0,0.0,0.0,16,4,child-directed
location,0.0,0.0,0.0,7,4,child-directed
human,0.69999999999999996,0.54000000000000004,0.80000000000000004,50,4,child-directed
nationality,0.66666666666666663,0.1111111111111111,0.88888888888888884,9,4,child-directed
speed,0.0,0.0,0.0,1,4,child-directed
dimension,0.46476761619190404,0.42728635682158922,0.50074962518740629,667,4,child-directed
physical,0.3300970873786408,0.23300970873786409,0.41747572815533979,103,4,child-directed
temporal,0.0,0.0,0.0,2,4,child-produced
color,0.22500000000000001,0.10000000000000001,0.34999999999999998,40,4,child-produced
age,0.23999999999999999,0.080000000000000002,0.40000000000000002,25,4,child-produced
material,0.0,0.0,0.0,1,4,child-produced
value,0.6428571428571429,0.53061224489795922,0.72448979591836737,98,4,child-produced
shape,0.0,0.0,0.0,1,4,child-produced
location,0.20000000000000001,0.0,0.40000000000000002,5,4,child-produced
human,0.94444444444444442,0.66666666666666663,1.0,18,4,child-produced
speed,1.0,1.0,1.0,1,4,child-produced
dimension,0.5166163141993958,0.45921450151057402,0.56797583081571001,331,4,child-produced
physical,0.19230769230769232,0.038461538461538464,0.34615384615384615,26,4,child-produced
