adj,freq,sem_class,mean dis,subjectivity,age,p/d
cute,11,value,0.9090909090909091,0.787272727272727,2,child-directed
just,5,value,1.0,0.60125,2,child-directed
slippery,1,physical,1.0,0.568888888888889,2,child-directed
yellow,28,color,0.10714285714285714,0.343333333333333,2,child-directed
front,1,location,0.0,0.254,2,child-directed
bright,10,color,0.5454545454545454,0.464,2,child-directed
naughty,3,human,1.0,0.723,2,child-directed
rough,5,physical,0.4,0.715,2,child-directed
still,1,other,1.0,0.226666666666667,2,child-directed
perfect,1,value,1.0,0.493,2,child-directed
busy,2,other,1.0,0.683333333333333,2,child-directed
gold,3,color,0.0,0.214166666666667,2,child-directed
wee,8,dimension,1.0,0.762857142857143,2,child-directed
young,1,age,0.0,0.551538461538462,2,child-directed
late,11,temporal,1.0,0.422307692307692,2,child-directed
black,14,color,0.07142857142857142,0.269,2,child-directed
pretty,68,value,0.9571428571428572,0.863333333333333,2,child-directed
nifty,1,value,1.0,0.621538461538461,2,child-directed
orange,5,color,0.2,0.301538461538462,2,child-directed
sorry,1,human,1.0,0.68,2,child-directed
wool,2,material,0.0,0.287,2,child-directed
smart,5,human,0.4,0.596666666666667,2,child-directed
real,1,other,0.0,0.241428571428571,2,child-directed
brown,37,color,0.09090909090909091,0.29875,2,child-directed
good,81,value,0.5294117647058824,0.78125,2,child-directed
tubby,1,dimension,0.0,0.6325,2,child-directed
big,225,dimension,0.5641025641025641,0.691666666666667,2,child-directed
horrible,1,value,1.0,0.64,2,child-directed
fat,3,dimension,0.0,0.619375,2,child-directed
fast,1,speed,0.0,0.57125,2,child-directed
dark,2,color,0.5,0.315,2,child-directed
awful,3,value,1.0,0.641666666666667,2,child-directed
silver,1,color,0.0,0.251111111111111,2,child-directed
cool,4,physical,0.0,0.678125,2,child-directed
wooden,18,material,0.0,0.255454545454545,2,child-directed
large,3,dimension,0.0,0.548181818181818,2,child-directed
bad,5,value,0.0,0.71625,2,child-directed
stupid,2,human,1.0,0.6575,2,child-directed
plain,1,value,0.0,0.571428571428571,2,child-directed
small,10,dimension,0.5,0.513,2,child-directed
soft,5,physical,0.0,0.572222222222222,2,child-directed
round,13,shape,0.0,0.23875,2,child-directed
mean,4,human,0.75,0.712727272727273,2,child-directed
heavy,4,physical,0.0,0.5725,2,child-directed
right,1,value,1.0,0.637777777777778,2,child-directed
old,23,age,0.16666666666666666,0.646666666666667,2,child-directed
fluffy,8,physical,0.0,0.573333333333333,2,child-directed
hard,1,physical,0.0,0.428181818181818,2,child-directed
back,1,location,0.0,0.297142857142857,2,child-directed
dead,1,human,0.0,0.14,2,child-directed
dear,2,value,1.0,0.61,2,child-directed
cold,1,physical,0.0,0.69,2,child-directed
special,2,value,0.6666666666666666,0.68,2,child-directed
blue,22,color,0.3181818181818182,0.346666666666667,2,child-directed
eensie,1,dimension,1.0,0.7175,2,child-directed
purple,7,color,0.0,0.2405,2,child-directed
jolly,13,human,1.0,0.675714285714286,2,child-directed
teeny,12,dimension,0.6666666666666666,0.531818181818182,2,child-directed
rotten,4,value,0.0,0.4425,2,child-directed
dutch,1,nationality,0.0,0.383333333333333,2,child-directed
new,19,age,0.6086956521739131,0.265,2,child-directed
red,23,color,0.0,0.174166666666667,2,child-directed
dirty,6,physical,0.6666666666666666,0.504,2,child-directed
full,1,physical,0.0,0.384444444444444,2,child-directed
cozy,8,value,0.0,0.683333333333333,2,child-directed
pathetic,1,value,0.0,0.687692307692308,2,child-directed
french,1,nationality,0.0,0.278888888888889,2,child-directed
ancient,1,age,1.0,0.444,2,child-directed
merry,4,human,1.0,0.72,2,child-directed
strong,3,physical,0.25,0.64375,2,child-directed
super,7,value,0.14285714285714285,0.770833333333333,2,child-directed
great,68,value,1.0,0.838,2,child-directed
last,27,temporal,0.0,0.39,2,child-directed
brilliant,1,value,1.0,0.68625,2,child-directed
quiet,1,physical,0.5,0.36875,2,child-directed
american,6,nationality,1.0,0.367857142857143,2,child-directed
weird,1,value,1.0,0.815,2,child-directed
narrow,2,dimension,1.0,0.6325,2,child-directed
whole,3,other,1.0,0.353636363636364,2,child-directed
first,3,temporal,0.6666666666666666,0.141818181818182,2,child-directed
golden,1,color,0.0,0.33625,2,child-directed
own,10,other,1.0,0.253333333333333,2,child-directed
dulcet,1,value,0.0,0.608666666666667,2,child-directed
sweet,11,physical,0.9090909090909091,0.724666666666667,2,child-directed
tiny,39,dimension,0.275,0.414444444444444,2,child-directed
oval,3,shape,0.0,0.213333333333333,2,child-directed
plastic,2,material,0.0,0.268,2,child-directed
open,1,dimension,0.0,0.422857142857143,2,child-directed
little,323,dimension,0.44680851063829785,0.413571428571429,2,child-directed
exciting,2,value,1.0,0.695454545454545,2,child-directed
damp,3,physical,0.0,0.485384615384615,2,child-directed
comfy,1,value,0.0,0.789090909090909,2,child-directed
long,28,dimension,0.21212121212121213,0.556428571428571,2,child-directed
next,5,temporal,0.6,0.281,2,child-directed
white,18,color,0.2631578947368421,0.281428571428571,2,child-directed
empty,1,physical,1.0,0.371428571428571,2,child-directed
wicked,4,human,0.0,0.674444444444444,2,child-directed
flat,4,dimension,0.0,0.256,2,child-directed
head,1,other,0.0,0.288,2,child-directed
clever,2,human,0.5,0.640909090909091,2,child-directed
innocent,2,human,0.0,0.598461538461538,2,child-directed
sore,1,other,0.0,0.69,2,child-directed
warm,12,physical,0.75,0.6675,2,child-directed
true,1,other,1.0,0.362727272727273,2,child-directed
east,1,location,0.0,0.202222222222222,2,child-directed
double,1,other,0.0,0.053,2,child-directed
pretend,2,other,0.0,0.435,2,child-directed
smooth,1,physical,0.0,0.59875,2,child-directed
grey,2,color,0.0,0.2810714285714285,2,child-directed
neat,6,value,0.16666666666666666,0.582727272727273,2,child-directed
thin,5,dimension,0.4,0.571538461538462,2,child-directed
light,3,physical,0.3333333333333333,0.562,2,child-directed
fun,18,value,0.6111111111111112,0.872857142857143,2,child-directed
happy,14,human,0.8571428571428571,0.43,2,child-directed
beautiful,22,value,0.7307692307692307,0.935714285714286,2,child-directed
weensie,1,dimension,0.0,0.763125,2,child-directed
high,5,location,0.0,0.428181818181818,2,child-directed
ready,4,other,1.0,0.555555555555556,2,child-directed
sharp,1,physical,0.0,0.417272727272727,2,child-directed
pink,3,color,0.3333333333333333,0.1075,2,child-directed
huge,10,dimension,0.5833333333333334,0.624285714285714,2,child-directed
different,3,other,0.8181818181818182,0.771428571428571,2,child-directed
waterproof,1,physical,0.0,0.192307692307692,2,child-directed
same,4,other,1.0,0.30875,2,child-directed
hot,22,physical,0.3181818181818182,0.403,2,child-directed
sick,1,other,1.0,0.344285714285714,2,child-directed
grand,1,value,1.0,0.747142857142857,2,child-directed
silly,1,human,1.0,0.655,2,child-directed
yucky,2,value,0.6666666666666666,0.711666666666667,2,child-directed
nice,179,value,0.9289340101522843,0.725833333333333,2,child-directed
poor,25,value,1.0,0.53,2,child-directed
even,8,other,1.0,0.427142857142857,2,child-directed
bald,1,physical,0.0,0.182222222222222,2,child-directed
vicious,3,human,1.0,0.642142857142857,2,child-directed
mad,1,human,1.0,0.554285714285714,2,child-directed
