class,mean,CI1,CI2,N
temporal,0.27586206896551724,0.15517241379310345,0.37931034482758619,58,child-directed,2
color,0.11320754716981132,0.075471698113207544,0.15094339622641509,265,child-directed,2
age,0.359375,0.234375,0.46875,64,child-directed,2
material,0.0,0.0,0.0,22,child-directed,2
value,0.81028368794326244,0.77482269503546097,0.83865248226950351,564,child-directed,2
shape,0.0,0.0,0.0,16,child-directed,2
other,0.78181818181818186,0.63636363636363635,0.8545454545454545,55,child-directed,2
location,0.0,0.0,0.0,9,child-directed,2
human,0.76190476190476186,0.61904761904761907,0.84126984126984128,63,child-directed,2
nationality,0.66666666666666663,0.22222222222222221,0.88888888888888884,9,child-directed,2
speed,0.5,0.0,0.5,2,child-directed,2
dimension,0.4658792650918635,0.42913385826771655,0.49868766404199477,762,child-directed,2
physical,0.33333333333333331,0.24324324324324326,0.4144144144144144,111,child-directed,2
temporal,0.0,0.0,0.0,2,child-produced,2
color,0.24390243902439024,0.097560975609756101,0.36585365853658536,41,child-produced,2
age,0.23333333333333334,0.066666666666666666,0.36666666666666664,30,child-produced,2
material,0.0,0.0,0.0,1,child-produced,2
value,0.66666666666666663,0.56481481481481477,0.7407407407407407,108,child-produced,2
shape,0.0,0.0,0.0,1,child-produced,2
other,0.66666666666666663,0.33333333333333331,0.83333333333333337,18,child-produced,2
location,0.16666666666666666,0.0,0.33333333333333331,6,child-produced,2
human,0.94444444444444442,0.61111111111111116,1.0,18,child-produced,2
speed,1.0,1.0,1.0,1,child-produced,2
dimension,0.50991501416430596,0.45325779036827196,0.55807365439093481,353,child-produced,2
physical,0.25,0.071428571428571425,0.39285714285714285,28,child-produced,2
