class,mean,CI1,CI2,N,label
color,0.14522821576763487,0.091286307053941904,0.21576763485477179,241,"child-directed, 2, not binned"
age,0.59405940594059403,0.40594059405940597,0.81188118811881194,101,"child-directed, 2, not binned"
material,0.0,0.0,0.0,9,"child-directed, 2, not binned"
value,1.1352459016393444,1.040983606557377,1.25,244,"child-directed, 2, not binned"
shape,0.0,0.0,0.0,5,"child-directed, 2, not binned"
dimension,0.57793345008756569,0.53415061295971977,0.61821366024518387,571,"child-directed, 2, not binned"
physical,0.21428571428571427,0.0,0.42857142857142855,14,"child-directed, 2, not binned"
color,0.2348993288590604,0.16107382550335569,0.32214765100671139,149,"child-produced, 2, not binned"
age,0.26666666666666666,0.10000000000000001,0.46666666666666667,30,"child-produced, 2, not binned"
material,0.0,0.0,0.0,5,"child-produced, 2, not binned"
value,0.65217391304347827,0.52173913043478259,0.77173913043478259,92,"child-produced, 2, not binned"
shape,0.0,0.0,0.0,5,"child-produced, 2, not binned"
dimension,0.68571428571428572,0.62857142857142856,0.73809523809523814,420,"child-produced, 2, not binned"
physical,0.58333333333333337,0.16666666666666666,0.75,12,"child-produced, 2, not binned"
dimension-age-physical,0.57288629737609331,0.5276967930029155,0.61953352769679304,686,"child-directed, 2, binned"
value,1.1352459016393444,1.0368852459016393,1.2459016393442623,244,"child-directed, 2, binned"
shape-color-material,0.13725490196078433,0.090196078431372548,0.20000000000000001,255,"child-directed, 2, binned"
dimension-age-physical,0.6558441558441559,0.60173160173160178,0.70346320346320346,462,"child-produced, 2, binned"
value,0.65217391304347827,0.52173913043478259,0.78260869565217395,92,"child-produced, 2, binned"
shape-color-material,0.22012578616352202,0.14465408805031446,0.30188679245283018,159,"child-produced, 2, binned"
